address, balance, time
terra1czj5ds6hxuuwhqvelcgmztdytxnnmvvrfcphlr, 1012.981663, 
terra1fdwfrckuxlm8t3hfwq02q6gxdj2f27djqnj0kj, 1010.137111, 
terra16s7ssjaw0d2vjas7pult65a97k862gh0zv95z8, 1003.386945, 
terra1pmqxcd2epj383tycqfv4lqdaza62yzwj3uj58d, 1000.193023, 
terra1s0ulgg95m2at6dssgapan8avgpw26hsynkgyfe, 1000.000000, 
terra1rqffa9xpclv29a7wqyztefy4w9yvmxal4udtf3, 996.422646, 
terra1vralc7e4kn5un4kxdtddplhyx4hp0svwplp860, 991.341706, 
terra18udde94nj5p9zaqnklez29xmn2gc6qt3zn7yrt, 976.977749, 
terra1jtka0hy66kvhvd3rpenku6q5nclu5tz8j3xpag, 973.650117, 
terra1j228scame782nh5z620d3g8kp97f2md3wqjr65, 972.197149, 
terra16g66qsja0qwd4ut4d79e5cy5ceyn865v3fte9r, 969.312294, 
terra18y78dyxqjm3cdf73t55kyreh5wh5p0957xgm6x, 944.792908, 
terra1zjgn4h7u6qpeav43dj4ektkftedn8gfh2f94z5, 943.265163, 
terra14lq2asm6m4pt2sx96699u7vhy7dkafhw7pqhln, 943.150388, 
terra1n404zv0a6p049cgtj5f3wxg40z5m8t0htkx6wm, 940.888799, 
terra1ganzzsnevx5z5unth5wdj5lhk9r7qzlsus4fyk, 927.744453, 
terra1jmf43xdaw533n97trzqeytvw8d9nmr7mxfqz6p, 926.190643, 
terra1ya89we5639ktcwjxk8mxytx2atrsfljyyld3ck, 923.776754, 
terra1cl9zmzcdeap7ssn3qgtjd897ae2xlu5kcgefrf, 906.317490, 
terra1qraae0fra60q7eunlknxewrvu35kej8yuz3t56, 902.372187, 
terra1qk7e2q25aqf6zgket2rkcvhdp8lj07sgzxl5pe, 900.773310, 
terra1kc980880gndc356yc9lwskxlgdxy9hzdhvkje7, 891.519985, 
terra13mluq8a7tm878l6s4nu9k63wl732nxm3yjsa52, 881.289464, 
terra1zglk85rnt8haeav35xx7rqxxlktvhetw78uw35, 877.922334, 
terra1dq8adtrr4lh592y045k8hzmw4xd95at4442rl6, 875.225721, 
terra1nel3mggkwec2m928lwgag5km0h6rgm4hmgdvmy, 873.812944, 
terra1dex9g22hzxk94eh58n54kzvrpemneh95935cw6, 872.237471, 
terra1665rk56hmj0xgjtsvs54ksnc9yq4qllqsya2j6, 863.588632, 
terra1gpw0kxu45rl3uaj6qtv4k7xntazk89uvag49sp, 862.433295, 
terra1ch0aru8p2xau6gt29ku2cfd8gxnw50wxnjk37f, 859.081496, 
terra1ndp9p7ta98yey0p3m8tmdh0jhxujtxlq2v45a7, 856.817849, 
terra1wtwkn4pzaxh9k4t8wl53xprlrezmgjcdn7eyc3, 854.335016, 
terra1hh8nj2kgydtv0cp5avgd2fu325y038d68cstrj, 853.132882, 
terra1wxym5kp4w9h6ljyvacpnmzr34wtlfuu9sxumy4, 848.976740, 
terra1tpl28ejg6v8lt7wzvxhxyusettnxt84fnzxaqg, 848.935414, 
terra12u0emr52t54frpdtj88fv8utz6hm5a70m9krwr, 847.684064, 
terra164wlp8wdnyktz7agzhut2kpvgzd9mjg7wy0nmv, 843.976260, 
terra15urq2dtp9qce4fyc85m6upwm9xul30496lytpd, 839.022103, 
terra10808lqrhwvd9lk0gjyvsjmhnxzcc4kz6j09tj6, 834.604673, 
terra1zf5rn874yf8nyta3atacqqgf73q0j295wggeew, 828.017102, 
terra15a3h6p3c65e3r0zq86cluy9yzsxpkw588kdp7w, 825.367148, 
terra13xmmsd45nj4925u2vfl8z8qgmn6a4f83w6fu6p, 819.382500, 
terra1qetr95z90lsletzpmq50agtcjlgx3ezqs76xj0, 818.716801, 
terra1p5l4w2gtlphf5h4dzqal5klpmahwpg0prqtljq, 813.976351, 
terra15dga6y8edcvkyafu56cve0shre9g6ftc3udyyg, 813.953086, 
terra1jyknswgpytxzv928nvwvtj2t2akge8vn3ujqer, 811.759189, 
terra14mzezu5ca2ecdkluh8w08qn5jhgv355n30fpxy, 809.668591, 
terra10zff2r7hdzy9axfuxuyucxs9k3vmhmzhppmfjm, 809.600769, 
terra1js78sdq700c9n64k087pwtj5wspu2m57whvyh7, 809.432952, 
terra169vjme5532rkezzwpne72cexq7c8cp62ypqqf9, 801.844683, 
terra1ygrqtrtc0ypqzw2adxcngklvwqnta8xcdyl2el, 795.210202, 
terra1elwrqra6u2q0vdq9m7an4nwryylmas923nldgz, 792.861317, 
terra1whsx46d8eeeql7c5hsrzkuzptv6r8aq40gf9uj, 789.540652, 
